id,district,AMURIAT,KABULETA,KALEMBE,KATUMBA,KYAGULANYI,MAO,MAYAMBALA,MUNTU,MWESIGYE,TUMUKUNDE,TIBUHABURWA,ValidVotes
1,ABIM,433,71,66,179,3956,395,35,63,41,95,18254,23588
2,ADJUMANI,1179,710,325,198,7866,225,81,264,183,265,35125,46421
3,AGAGO,1595,337,299,202,10559,1834,243,407,356,433,47696,63961
4,ALEBTONG,1920,604,425,297,16794,446,419,634,389,860,42832,65620
5,AMOLATAR,3349,218,240,260,7185,206,134,310,289,466,38619,51276
6,AMUDAT,47,4,6,6,625,7,4,10,20,27,30451,31207
7,AMURIA,16637,319,214,115,3380,215,108,278,219,385,34666,56536
8,AMURU,3825,476,267,238,7466,2334,381,492,321,476,18742,35018
9,APAC,1483,277,263,246,16485,310,117,326,300,537,31908,52252
10,ARUA,491,180,207,111,7966,240,85,271,197,232,23824,33804
11,BUDAKA,825,307,357,181,27281,157,184,193,326,258,33261,63330
12,BUDUDA,421,83,85,62,14666,57,31,87,81,318,29224,45115
13,BUGIRI,1836,256,417,267,49475,279,134,328,226,392,45980,99590
14,BUHWEJU,993,159,123,325,3602,83,34,490,94,293,41423,47619
15,BUIKWE,1039,219,314,382,81852,388,68,259,152,206,40900,125779
16,BUKEDEA,14331,389,64,126,4980,118,46,227,246,459,37590,58576
17,BUKOMANSIMBI,118,30,42,92,32155,106,18,52,34,88,13649,46384
18,BUKWO,451,73,80,43,3032,56,72,80,52,93,27888,31920
19,BULAMBULI,700,65,132,43,10788,57,16,57,87,104,38972,51021
20,BULIISA,355,194,86,50,6152,89,17,104,80,187,19316,26630
21,BUNDIBUGYO,227,119,153,148,18076,92,36,185,100,229,52408,71773
22,BUSHENYI,2029,295,337,866,10937,138,51,2841,141,534,66572,84741
23,BUSIA,2671,945,738,448,45166,305,137,299,261,441,44679,96090
24,BUTALEJA,641,351,239,200,29037,159,80,147,149,287,37856,69146
25,BUTAMBALA,83,22,45,59,26806,47,16,49,38,43,9379,36587
26,BUVUMA,208,25,106,68,13572,98,14,62,43,47,6814,21057
27,BUYENDE,624,298,516,209,30252,130,64,266,163,393,47916,80831
28,DOKOLO,2542,870,222,310,15364,420,163,492,264,771,36774,58192
29,GOMBA,71,33,43,71,29017,50,16,76,46,89,24568,54080
30,GULU,1165,255,171,119,3023,4011,598,208,117,175,9997,19839
31,HOIMA,345,1896,142,114,10973,95,47,304,231,154,38431,52732
32,IBANDA,958,136,134,353,7702,159,40,1419,97,240,77521,88759
33,IGANGA,849,123,1284,269,54712,288,64,241,128,334,35660,93952
34,ISINGIRO,1351,132,108,313,8769,129,30,845,206,228,188609,200720
35,JINJA,1113,163,530,177,36847,124,28,165,91,118,23005,62361
36,KAABONG,318,75,74,61,1218,140,659,145,146,848,26100,29784
37,KABALE,2716,109,338,696,8168,130,44,993,128,423,75032,88777
38,KABAROLE,477,144,125,198,9963,109,50,606,227,266,50058,62223
39,KABERAMAIDO,3378,228,180,156,9058,196,201,294,244,298,18589,32822
40,KALANGALA,95,13,28,78,13121,40,5,35,16,35,5275,18741
41,KALIRO,728,126,457,121,27032,122,34,124,247,230,38189,67410
42,KALUNGU,119,33,51,81,38352,120,25,97,41,94,16377,55390
43,KAMPALA,6608,1441,897,1698,391787,1372,89,4795,202,433,128658,537980
44,KAMULI,1129,309,1112,377,65774,239,119,487,275,540,57470,127831
45,KAMWENGE,386,41,82,149,3969,41,38,517,90,108,85241,90662
46,KANUNGU,3682,193,241,755,6722,108,62,812,218,772,72126,85691
47,KAPCHORWA,597,65,118,83,7542,144,56,97,72,102,30590,39466
48,KASESE,9406,626,565,650,102384,641,170,1527,796,1282,109275,227322
49,KATAKWI,11710,414,185,105,2108,150,52,254,201,290,40777,56246
50,KAYUNGA,571,234,345,226,64172,180,103,294,197,300,35881,102503
51,KIBAALE,129,364,56,71,5429,35,20,168,47,104,35804,42227
52,KIBOGA,107,47,67,78,23764,57,10,81,44,68,24254,48577
53,KIBUKU,549,66,169,102,23624,79,45,188,131,215,34078,59246
54,KIRUHURA,78,1,16,31,616,7,1,155,8,36,75483,76432
55,KIRYANDONGO,894,492,175,150,13893,527,67,258,204,288,38083,55031
56,KISORO,701,227,92,250,7241,108,31,1221,212,255,98694,109032
57,KITGUM,2561,606,459,294,14869,3322,500,582,336,571,26880,50980
58,KOBOKO,545,322,247,149,10719,247,215,342,155,555,34410,47906
59,KOLE,938,510,373,371,15937,468,141,447,274,619,46900,66978
60,KOTIDO,423,141,165,135,2823,210,1214,234,230,957,32310,38842
61,KUMI,25139,327,215,289,2105,164,111,314,164,325,38234,67387
62,KWEEN,662,46,112,47,4005,133,28,49,30,105,27467,32684
63,KYANKWANZI,163,77,94,112,24529,74,21,134,138,155,39859,65356
64,KYEGEGWA,451,60,103,171,10656,74,25,422,100,338,69129,81529
65,KYENJOJO,986,249,284,350,15158,106,53,728,138,334,110869,129255
66,LAMWO,1183,545,679,220,8621,1981,185,403,250,452,19322,33841
67,LIRA,1070,563,541,321,18093,1044,366,569,349,780,36908,60604
68,LUUKA,361,73,487,107,31842,107,34,137,82,183,27520,60933
69,LUWERO,459,176,256,393,103782,289,101,298,184,211,41166,147315
70,LWENGO,287,132,132,182,47742,121,32,155,64,160,36411,85418
71,LYANTONDE,117,61,30,69,7726,25,24,137,57,58,23967,32271
72,MANAFWA,1598,110,128,91,13740,104,32,66,132,128,32999,49128
73,MARACHA,1100,364,840,282,10127,388,248,527,263,493,33674,48306
74,MASAKA,83,26,58,70,23132,95,9,61,59,51,11317,34961
75,MASINDI,1117,2721,191,282,20879,203,97,358,314,411,55604,82177
76,MAYUGE,1005,194,754,423,62938,216,104,313,208,540,50932,117627
77,MBALE,1309,170,321,159,28935,135,69,170,137,190,37106,68701
78,MBARARA,660,108,82,259,4586,57,12,792,83,190,49807,56636
79,MITOOMA,1827,129,220,466,6561,101,37,1356,67,388,54935,66087
80,MITYANA,307,85,90,256,72955,260,37,189,81,194,38163,112617
81,MOROTO,211,111,60,45,1417,66,94,67,68,952,21342,24433
82,MOYO,483,191,149,75,4648,200,37,164,172,146,18227,24492
83,MPIGI,332,64,112,182,60815,160,27,138,73,150,22333,84386
84,MUBENDE,350,135,100,196,40980,133,49,328,178,343,71834,114626
85,MUKONO,1148,270,372,856,134591,525,117,600,185,248,48062,186974
86,NAKAPIRIPIRIT,59,19,24,19,978,25,9,23,31,129,22029,23345
87,NAKASEKE,130,69,65,124,32063,204,32,97,64,172,38009,71029
88,NAKASONGOLA,286,55,90,130,18213,58,20,98,73,110,35823,54956
89,NAMAYINGO,1011,281,404,178,27651,129,165,227,253,242,27341,57882
90,NAMUTUMBA,537,219,595,157,27504,151,131,196,350,224,38427,68491
91,NAPAK,354,23,26,22,912,43,110,66,34,463,32490,34543
92,NEBBI,2271,369,425,328,15421,761,223,448,563,469,47285,68563
93,NGORA,14618,320,392,105,2237,165,67,156,184,268,24662,43174
94,NTOROKO,89,61,68,47,4212,28,11,187,50,103,19670,24526
95,NTUNGAMO,3227,145,300,802,12503,159,53,7110,218,677,161655,186849
96,NWOYA,809,327,396,192,5732,2570,126,361,450,267,13910,25140
97,OTUKE,502,195,124,143,4949,175,63,165,73,225,25464,32078
98,OYAM,1450,587,1762,545,27351,819,236,992,490,939,62292,97463
99,PADER,1570,590,545,353,8292,2757,469,495,267,817,28233,44388
100,PALLISA,10031,259,348,194,16362,270,361,283,535,465,53788,82896
101,RAKAI,219,58,129,122,33267,99,33,232,105,214,47288,81766
102,RUBIRIZI,490,178,78,224,6338,79,24,515,85,360,39686,48057
103,RUKUNGIRI,18204,204,336,1432,6501,150,83,936,149,2980,77410,108385
104,SSEMBABULE,236,45,145,119,33524,75,24,155,91,109,45234,79757
105,SERERE,26722,1200,414,232,6013,251,123,617,378,771,38555,75276
106,SHEEMA,2409,343,334,866,8851,119,53,1646,138,349,65220,80328
107,SIRONKO,8541,97,233,124,28900,199,31,124,115,252,43275,81891
108,SOROTI,19758,505,491,469,5196,184,166,298,324,338,34590,62319
109,TORORO,8876,881,682,521,54556,561,143,657,485,893,86248,154503
110,WAKISO,3730,772,753,2520,425002,1101,140,2764,529,1684,122505,561500
111,YUMBE,1129,368,371,181,16890,265,129,304,299,528,50686,71150
112,ZOMBO,1260,421,434,310,9111,1176,207,498,305,606,45578,59906
